datetime,open,high,low,close,volume,contract
2025-12-31,4665.7,4665.7,4665.7,4665.7,0.0,MGCZ7
2026-01-02,4652.7,4652.7,4652.7,4652.7,0.0,MGCZ7
2026-01-05,4789.6,4789.6,4777.3,4777.3,3.0,MGCZ7
2026-01-06,4826.2,4826.2,4826.2,4826.2,0.0,MGCZ7
2026-01-07,4783.0,4789.5,4783.0,4789.5,1.0,MGCZ7
2026-01-08,4790.7,4790.7,4790.7,4790.7,0.0,MGCZ7
2026-01-09,4833.2,4833.2,4833.2,4833.2,0.0,MGCZ7
2026-01-12,4945.1,4950.8,4945.1,4950.8,1.0,MGCZ7
2026-01-13,4932.0,4932.0,4932.0,4932.0,0.0,MGCZ7
2026-01-14,4950.2,4967.1,4950.0,4967.1,11.0,MGCZ7
2026-01-15,4940.0,4961.0,4932.0,4956.5,4.0,MGCZ7
2026-01-16,4932.0,4932.0,4900.0,4928.6,5.0,MGCZ7
2026-01-20,5004.0,5102.6,5004.0,5102.6,3.0,MGCZ7
2026-01-21,5211.0,5211.0,5126.0,5177.6,9.0,MGCZ7
2026-01-22,5130.0,5257.8,5130.0,5257.8,2.0,MGCZ7
2026-01-23,5282.0,5348.8,5282.0,5335.2,4.0,MGCZ7
2026-01-26,5387.6,5458.9,5387.6,5454.4,48.0,MGCZ7
2026-01-27,5482.4,5543.2,5452.2,5452.2,4.0,MGCZ7
2026-01-28,5537.3,5761.4,5537.3,5689.2,47.0,MGCZ7
2026-01-29,5918.3,5923.5,5488.0,5701.7,7.0,MGCZ7
2026-01-30,5575.0,5575.0,5052.8,5059.9,46.0,MGCZ7
2026-02-02,5082.5,5221.1,4798.0,4951.1,27.0,MGCZ7
2026-02-03,5200.0,5276.4,5200.0,5245.9,7.0,MGCZ7
2026-02-04,5400.0,5400.0,5263.8,5263.8,5.0,MGCZ7
2026-02-05,5250.3,5250.3,5137.0,5195.7,16.0,MGCZ7
2026-02-06,5000.0,5300.0,5000.0,5299.7,13.0,MGCZ7
2026-02-09,5349.8,5421.2,5330.4,5403.2,11.0,MGCZ7
2026-02-10,5405.0,5405.0,5353.0,5354.4,5.0,MGCZ7
2026-02-11,5425.4,5425.4,5425.4,5425.4,0.0,MGCZ7
2026-02-12,5405.0,5405.0,5269.2,5269.2,10.0,MGCZ7
2026-02-13,5361.2,5376.8,5354.4,5360.9,12.0,MGCZ7
2026-02-17,5353.3,5353.3,5200.5,5214.6,8.0,MGCZ7
2026-02-18,5326.1,5326.1,5326.1,5326.1,0.0,MGCZ7
2026-02-19,5304.6,5360.9,5304.6,5315.9,6.0,MGCZ7
